country_to,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,total,probability
Australia,622998.0,661658.3999999999,700318.7999999997,738979.2000000003,777639.6000000002,816300.0,877398.6000000001,938497.1999999998,999595.7999999999,1060694.4000000001,1121793.0,1165778.6,1209764.1999999997,1253749.8000000003,1297735.4,1341721.0,1386161.6,1430602.2000000002,1475042.7999999998,1519483.4,1563924.0,1623941.0000000002,1683958.0,1743975.0,1803991.9999999998,1864009.0,1930698.7999999998,1997388.5999999999,2064078.4000000001,2130768.2000000007,2197458.0,51528306.0,0.09188417973059372
Austria,18567.0,19197.00000000001,19826.999999999996,20457.0,21086.99999999999,21717.0,26973.399999999998,32229.799999999992,37486.200000000004,42742.6,47999.0,52898.6,57798.2,62697.8,67597.40000000001,72497.0,76960.79999999999,81424.6,85888.4,90352.20000000003,94816.0,106480.99999999999,118146.00000000003,129810.99999999997,141476.00000000003,153141.0,153613.4,154085.8,154558.2,155030.6,155503.0,3037300.0,0.005416048784831628
Canada,1159153.0,1176426.4,1193699.8000000003,1210973.1999999997,1228246.6,1245520.0,1322490.5999999999,1399461.1999999997,1476431.8000000003,1553402.4000000001,1630373.0,1712359.2,1794345.4,1876331.6,1958317.7999999998,2040304.0,2121754.2,2203204.4000000004,2284654.5999999996,2366104.8000000003,2447555.0,2610520.6,2773486.2000000007,2936451.7999999993,3099417.400000001,3262383.0,3511668.3999999985,3760953.8000000017,4010239.199999999,4259524.6,4508810.0,86428662.0,0.15411775254328633
Chile,12605.0,13322.199999999997,14039.399999999998,14756.600000000004,15473.8,16191.0,23994.8,31798.6,39602.399999999994,47406.2,55210.0,64317.59999999999,73425.20000000001,82532.79999999999,91640.40000000001,100748.0,115036.40000000002,129324.8,143613.2,157901.59999999995,172190.0,185754.9999999999,199320.0,212885.0,226450.00000000012,240015.0,264708.0,289401.0,314094.0,338786.99999999994,363480.0,5010464.0,0.008934552878755019
Denmark,13624.0,14203.0,14782.000000000002,15360.999999999998,15940.0,16519.0,17925.6,19332.199999999997,20738.8,22145.399999999998,23552.0,25922.399999999998,28292.799999999996,30663.200000000008,33033.6,35404.0,39328.0,43251.99999999999,47176.000000000015,51099.99999999999,55024.0,57286.60000000001,59549.200000000004,61811.799999999996,64074.39999999999,66337.0,68163.6,69990.20000000001,71816.79999999999,73643.4,75470.0,1537392.0,0.0027414447283475017
Finland,2310.0,2339.0,2368.0,2397.0,2426.0,2455.0,2591.7999999999997,2728.6,2865.4,3002.2000000000003,3139.0,4262.6,5386.2,6509.799999999999,7633.4,8757.0,9911.4,11065.8,12220.2,13374.6,14529.0,15796.199999999999,17063.399999999998,18330.600000000002,19597.8,20865.0,22779.600000000002,24694.199999999997,26608.800000000003,28523.399999999994,30438.0,429462.0,0.0007658075077309982
France,165196.0,177153.59999999992,189111.20000000004,201068.79999999993,213026.40000000008,224984.0,246040.40000000005,267096.79999999993,288153.20000000007,309209.59999999986,330266.0,352022.39999999985,373778.8000000001,395535.1999999999,417291.60000000003,439048.0,471330.7999999998,503613.6,535896.4,568179.2000000003,600462.0,624607.0,648752.0000000002,672896.9999999999,697042.0,721187.0,786677.5999999999,852168.1999999997,917658.8000000003,983149.4000000003,1048640.0,18751026.0,0.03343643090298827
Germany,409250.0,396510.79999999993,383771.6,371032.4,358293.2,345554.0,346655.6,347757.2,348858.8,349960.4,351062.0,425539.6,500017.1999999999,574494.8,648972.3999999999,723450.0,734674.0000000001,745897.9999999999,757122.0,768345.9999999998,779570.0,803993.6000000001,828417.2,852840.8,877264.3999999999,901688.0,942150.2,982612.4000000001,1023074.5999999999,1063536.8000000003,1103999.0,24660940.0,0.04397486389879356
Greece,18747.0,22474.399999999998,26201.800000000003,29929.200000000004,33656.6,37384.0,33798.399999999994,30212.8,26627.199999999993,23041.600000000002,19456.0,24582.600000000006,29709.200000000008,34835.79999999999,39962.4,45089.0,62199.79999999999,79310.6,96421.4,113532.20000000001,130643.0,155297.99999999997,179952.99999999997,204608.00000000006,229262.99999999997,253918.0,264638.3999999999,275358.8,286079.2,296799.6000000001,307520.0,4224008.0,0.0075321612601715595
Ireland,19469.0,21134.2,22799.399999999998,24464.600000000002,26129.8,27795.0,29107.199999999997,30419.4,31731.600000000002,33043.8,34356.0,38183.4,42010.8,45838.200000000004,49665.600000000006,53493.0,61731.0,69969.0,78207.0,86445.00000000001,94683.0,103527.0,112370.99999999999,121215.00000000001,130059.0,138903.0,158151.2,177399.4,196647.59999999998,215895.80000000002,235144.0,3113832.0,0.005552519020106621
