,Country Name,variable,value
0,Argentina,1980,108737.551
1,Armenia,1980,5826.863
2,Australia,1980,220746.066
3,Austria,1980,52306.088
4,Azerbaijan,1980,56240.779
5,Bangladesh,1980,7638.361
6,Belgium,1980,135301.299
7,Benin,1980,517.047
8,Brazil,1980,187090.34
9,Bulgaria,1980,77487.377
10,Burundi,1980,146.68
11,Cameroon,1980,3905.355
12,Canada,1980,443233.957
13,Chile,1980,25265.63
14,Colombia,1980,44356.032
15,Costa Rica,1980,2464.224
16,Cote d'Ivoire,1980,6222.899
17,Cyprus,1980,3208.625
18,Czech Republic,1980,138176.227
19,Denmark,1980,60369.821
20,Estonia,1980,23879.504
21,Ethiopia,1980,1822.499
22,Finland,1980,58246.628
23,"Gambia, The",1980,157.681
24,Ghana,1980,2559.566
25,Guinea,1980,964.421
26,Guyana,1980,1789.496
27,"Hong Kong SAR, China",1980,16662.848
28,Hungary,1980,86860.229
29,Iceland,1980,1866.503
30,"Iran, Islamic Rep.",1980,120900.99
31,Ireland,1980,26255.72
32,Israel,1980,21147.589
33,Italy,1980,388969.691
34,Jamaica,1980,8452.435
35,Japan,1980,947571.135
36,Kenya,1980,6197.23
37,Kyrgyz Republic,1980,11133.012
38,Latvia,1980,14143.619
39,Lesotho,1980,1474.134
40,Lithuania,1980,22148.68
41,"Macao SAR, China",1980,528.048
42,Madagascar,1980,1617.147
43,Malaysia,1980,27997.545
44,Mali,1980,392.369
45,Malta,1980,1023.093
46,Mauritius,1980,590.387
47,Mexico,1980,268453.736
48,Nepal,1980,542.716
49,Netherlands,1980,177508.469
50,New Zealand,1980,17458.587
51,Niger,1980,572.052
52,Norway,1980,38052.459
53,Oman,1980,6046.883
54,Pakistan,1980,32067.915
55,Panama,1980,3124.284
56,Peru,1980,24121.526
57,Poland,1980,464575.897
58,Portugal,1980,26985.453
59,Saudi Arabia,1980,169404.399
60,Senegal,1980,3351.638
61,Slovak Republic,1980,44183.683
62,Slovenia,1980,12478.801
63,South Africa,1980,228454.1
64,Spain,1980,215003.544
65,Sri Lanka,1980,3410.31
66,St. Lucia,1980,113.677
67,Eswatini,1980,465.709
68,Sweden,1980,71759.523
69,Switzerland,1980,40538.685
70,Thailand,1980,40135.315
71,Togo,1980,718.732
72,Tunisia,1980,9493.863
73,United Kingdom,1980,579290.658
74,Uruguay,1980,5837.864
75,Zambia,1980,3531.321
76,Argentina,1981,102041.609
77,Armenia,1981,5826.863
78,Australia,1981,230360.94
79,Austria,1981,56130.769
80,Azerbaijan,1981,56240.779
81,Bangladesh,1981,7931.721
82,Belgium,1981,124021.607
83,Benin,1981,429.039
84,Brazil,1981,171806.284
85,Bulgaria,1981,80343.97
86,Burundi,1981,157.681
87,Cameroon,1981,5342.819
88,Canada,1981,430003.421
89,Chile,1981,24554.232
90,Colombia,1981,44458.708
91,Costa Rica,1981,2251.538
92,Cote d'Ivoire,1981,4466.406
93,Cyprus,1981,3047.277
94,Czech Republic,1981,138176.227
95,Denmark,1981,51789.041
96,Estonia,1981,23879.504
97,Ethiopia,1981,1866.503
98,Finland,1981,51510.349
99,"Gambia, The",1981,157.681
100,Ghana,1981,3047.277
101,Guinea,1981,990.09
102,Guyana,1981,1800.497
103,"Hong Kong SAR, China",1981,18690.699
104,Hungary,1981,86618.207
105,Iceland,1981,1752.826
106,"Iran, Islamic Rep.",1981,112899.596
107,Ireland,1981,26039.367
108,Israel,1981,21213.595
109,Italy,1981,378020.029
110,Jamaica,1981,7414.674
111,Japan,1981,929606.502
112,Kenya,1981,6527.26
113,Kyrgyz Republic,1981,11133.012
114,Latvia,1981,14143.619
115,Lesotho,1981,1474.134
116,Lithuania,1981,22148.68
117,"Macao SAR, China",1981,535.382
118,Madagascar,1981,1026.76
119,Malaysia,1981,30824.802
120,Mali,1981,396.036
121,Malta,1981,1144.104
122,Mauritius,1981,542.716
123,Mexico,1981,284529.864
124,Nepal,1981,454.708
125,Netherlands,1981,164956.328
126,New Zealand,1981,16527.169
127,Niger,1981,685.729
128,Norway,1981,40329.666
129,Oman,1981,6017.547
130,Pakistan,1981,34400.127
131,Panama,1981,3340.637
132,Peru,1981,24103.191
133,Poland,1981,410062.275
134,Portugal,1981,27227.475
135,Saudi Arabia,1981,175491.619
136,Senegal,1981,3296.633
137,Slovak Republic,1981,44183.683
138,Slovenia,1981,12478.801
139,South Africa,1981,257368.395
140,Spain,1981,207288.176
141,Sri Lanka,1981,4033.7
142,St. Lucia,1981,95.342
143,Eswatini,1981,436.373
144,Sweden,1981,69430.978
145,Switzerland,1981,38859.199
146,Thailand,1981,38048.792
147,Togo,1981,627.057
148,Tunisia,1981,9834.894
149,United Kingdom,1981,560819.979
150,Uruguay,1981,5375.822
151,Zambia,1981,3366.306
152,Argentina,1982,103424.068
153,Armenia,1982,5826.863
154,Australia,1982,234119.615
155,Austria,1982,53868.23
156,Azerbaijan,1982,56240.779
157,Bangladesh,1982,8599.115
158,Belgium,1982,117553.019
159,Benin,1982,491.378
160,Brazil,1982,172176.651
161,Bulgaria,1982,90131.193
162,Burundi,1982,157.681
163,Cameroon,1982,6343.91
164,Canada,1982,414811.04
165,Chile,1982,20615.874
166,Colombia,1982,45914.507
167,Costa Rica,1982,2086.523
168,Cote d'Ivoire,1982,6109.222
169,Cyprus,1982,3102.282
170,Czech Republic,1982,138176.227
171,Denmark,1982,53695.881
172,Estonia,1982,23879.504
173,Ethiopia,1982,1481.468
174,Finland,1982,43083.583
