,Country Name,variable,value
0,Argentina,1980,4.63411379
1,Armenia,1980,0.95468217
2,Australia,1980,5.46949816
3,Austria,1980,6.82578659
4,Azerbaijan,1980,0.86689276
5,Bangladesh,1980,0.57436872
6,Belgium,1980,5.96185923
7,Benin,1980,0.80706608
8,Brazil,1980,3.47024679
9,Bulgaria,1980,3.4715004
10,Burundi,1980,1.46507251
11,Cameroon,1980,0.67430598
12,Canada,1980,6.02896738
13,Chile,1980,2.51822186
14,Colombia,1980,4.20017815
15,Costa Rica,1980,4.28046608
16,Cote d'Ivoire,1980,0.8112601
17,Cyprus,1980,2.18027353
18,Czech Republic,1980,5.07170343
19,Denmark,1980,6.73533964
20,Estonia,1980,3.92247367
21,Ethiopia,1980,1.79956126
22,Finland,1980,5.37109375
23,"Gambia, The",1980,0.58467138
24,Ghana,1980,0.77592826
25,Guinea,1980,0.30125162
26,Guyana,1980,2.38048863
27,"Hong Kong SAR, China",1980,
28,Hungary,1980,4.66643333
29,Iceland,1980,7.21218348
30,"Iran, Islamic Rep.",1980,1.7855711
31,Ireland,1980,4.57751989
32,Israel,1980,4.29216099
33,Italy,1980,5.49627781
34,Jamaica,1980,3.18738079
35,Japan,1980,5.75151682
36,Kenya,1980,1.32658839
37,Kyrgyz Republic,1980,2.13439822
38,Latvia,1980,2.76619649
39,Lesotho,1980,2.94303799
40,Lithuania,1980,4.16442347
41,"Macao SAR, China",1980,
42,Madagascar,1980,2.1105423
43,Malaysia,1980,1.17325473
44,Mali,1980,1.28954971
45,Malta,1980,4.73784733
46,Mauritius,1980,1.55006421
47,Mexico,1980,2.01177883
48,Nepal,1980,0.55427396
49,Netherlands,1980,5.320714
50,New Zealand,1980,5.56446981
51,Niger,1980,1.53187096
52,Norway,1980,6.29948092
53,Oman,1980,2.50450325
54,Pakistan,1980,1.01343811
55,Panama,1980,4.6724925
56,Peru,1980,2.31222916
57,Poland,1980,3.61403513
58,Portugal,1980,5.90206194
59,Saudi Arabia,1980,3.03455424
60,Senegal,1980,1.26322365
61,Slovak Republic,1980,4.68998718
62,Slovenia,1980,5.57140017
63,South Africa,1980,2.73613644
64,Spain,1980,4.91906023
65,Sri Lanka,1980,2.27740288
66,St. Lucia,1980,1.8697567
67,Eswatini,1980,2.41081047
68,Sweden,1980,6.18943739
69,Switzerland,1980,2.67802835
70,Thailand,1980,1.71152949
71,Togo,1980,0.39248648
72,Tunisia,1980,2.65892363
73,United Kingdom,1980,5.59644794
74,Uruguay,1980,4.15722036
75,Zambia,1980,3.18158054
76,Argentina,1981,4.63411379
77,Armenia,1981,0.95468217
78,Australia,1981,5.46949816
79,Austria,1981,6.82578659
80,Azerbaijan,1981,0.86689276
81,Bangladesh,1981,0.57436872
82,Belgium,1981,5.96185923
83,Benin,1981,0.80706608
84,Brazil,1981,3.47024679
85,Bulgaria,1981,3.4715004
86,Burundi,1981,1.46507251
87,Cameroon,1981,0.67430598
88,Canada,1981,6.02896738
89,Chile,1981,2.51822186
90,Colombia,1981,4.20017815
91,Costa Rica,1981,4.28046608
92,Cote d'Ivoire,1981,0.8112601
93,Cyprus,1981,2.18027353
94,Czech Republic,1981,5.07170343
95,Denmark,1981,6.73533964
96,Estonia,1981,3.92247367
97,Ethiopia,1981,1.79956126
98,Finland,1981,5.37109375
99,"Gambia, The",1981,0.58467138
100,Ghana,1981,0.77592826
101,Guinea,1981,0.30125162
102,Guyana,1981,2.38048863
103,"Hong Kong SAR, China",1981,
104,Hungary,1981,4.66643333
105,Iceland,1981,7.21218348
106,"Iran, Islamic Rep.",1981,1.7855711
107,Ireland,1981,4.57751989
108,Israel,1981,4.29216099
109,Italy,1981,5.49627781
110,Jamaica,1981,3.18738079
111,Japan,1981,5.75151682
112,Kenya,1981,1.32658839
113,Kyrgyz Republic,1981,2.13439822
114,Latvia,1981,2.76619649
115,Lesotho,1981,2.94303799
116,Lithuania,1981,4.16442347
117,"Macao SAR, China",1981,
118,Madagascar,1981,2.1105423
119,Malaysia,1981,1.17325473
120,Mali,1981,1.28954971
121,Malta,1981,4.73784733
122,Mauritius,1981,1.55006421
123,Mexico,1981,2.01177883
124,Nepal,1981,0.55427396
125,Netherlands,1981,5.320714
126,New Zealand,1981,5.56446981
127,Niger,1981,1.53187096
128,Norway,1981,6.29948092
129,Oman,1981,2.50450325
130,Pakistan,1981,1.01343811
131,Panama,1981,4.6724925
132,Peru,1981,2.31222916
133,Poland,1981,3.61403513
134,Portugal,1981,5.90206194
135,Saudi Arabia,1981,3.03455424
136,Senegal,1981,1.26322365
137,Slovak Republic,1981,4.68998718
138,Slovenia,1981,5.57140017
139,South Africa,1981,2.73613644
140,Spain,1981,4.91906023
141,Sri Lanka,1981,2.27740288
142,St. Lucia,1981,1.8697567
143,Eswatini,1981,2.41081047
144,Sweden,1981,6.18943739
145,Switzerland,1981,2.67802835
146,Thailand,1981,1.71152949
147,Togo,1981,0.39248648
148,Tunisia,1981,2.65892363
149,United Kingdom,1981,5.59644794
150,Uruguay,1981,4.15722036
151,Zambia,1981,3.18158054
152,Argentina,1982,4.63411379
153,Armenia,1982,0.95468217
154,Australia,1982,5.46949816
155,Austria,1982,6.82578659
156,Azerbaijan,1982,0.86689276
157,Bangladesh,1982,0.57436872
158,Belgium,1982,5.96185923
159,Benin,1982,0.80706608
160,Brazil,1982,3.47024679
161,Bulgaria,1982,3.4715004
162,Burundi,1982,1.46507251
163,Cameroon,1982,0.67430598
164,Canada,1982,6.02896738
165,Chile,1982,2.51822186
166,Colombia,1982,4.20017815
167,Costa Rica,1982,4.28046608
168,Cote d'Ivoire,1982,0.8112601
169,Cyprus,1982,2.18027353
170,Czech Republic,1982,5.07170343
171,Denmark,1982,6.73533964
172,Estonia,1982,3.92247367
173,Ethiopia,1982,1.79956126
174,Finland,1982,5.37109375
175,"Gambia, The",1982,0.58467138
176,Ghana,1982,0.77592826
177,Guinea,1982,0.30125162
178,Guyana,1982,2.38048863
179,"Hong Kong SAR, China",1982,
180,Hungary,1982,4.66643333
181,Iceland,1982,7.21218348
182,"Iran, Islamic Rep.",1982,1.7855711
183,Ireland,1982,4.57751989
184,Israel,1982,4.29216099
185,Italy,1982,5.49627781
186,Jamaica,1982,3.18738079
187,Japan,1982,5.75151682
188,Kenya,1982,1.32658839
189,Kyrgyz Republic,1982,2.13439822
190,Latvia,1982,2.76619649
191,Lesotho,1982,2.94303799
192,Lithuania,1982,4.16442347
193,"Macao SAR, China",1982,
194,Madagascar,1982,2.1105423
195,Malaysia,1982,1.17325473
196,Mali,1982,1.28954971
197,Malta,1982,4.73784733
198,Mauritius,1982,1.55006421
199,Mexico,1982,2.01177883
200,Nepal,1982,0.55427396
201,Netherlands,1982,5.320714
202,New Zealand,1982,5.56446981
203,Niger,1982,1.53187096
204,Norway,1982,6.29948092
205,Oman,1982,2.50450325
206,Pakistan,1982,1.01343811
207,Panama,1982,4.6724925
208,Peru,1982,2.31222916
209,Poland,1982,3.61403513
210,Portugal,1982,5.90206194
211,Saudi Arabia,1982,3.03455424
212,Senegal,1982,1.26322365
213,Slovak Republic,1982,4.68998718
214,Slovenia,1982,5.57140017
215,South Africa,1982,2.73613644
216,Spain,1982,4.91906023
217,Sri Lanka,1982,2.27740288
218,St. Lucia,1982,1.8697567
219,Eswatini,1982,2.41081047
220,Sweden,1982,6.18943739
221,Switzerland,1982,2.67802835
222,Thailand,1982,1.71152949
223,Togo,1982,0.39248648
224,Tunisia,1982,2.65892363
225,United Kingdom,1982,5.59644794
226,Uruguay,1982,4.15722036
227,Zambia,1982,3.18158054
228,Argentina,1983,4.63411379
229,Armenia,1983,0.95468217
230,Australia,1983,5.46949816
231,Austria,1983,6.82578659
232,Azerbaijan,1983,0.86689276
233,Bangladesh,1983,0.57436872
234,Belgium,1983,5.96185923
235,Benin,1983,0.80706608
236,Brazil,1983,3.47024679
237,Bulgaria,1983,3.4715004
238,Burundi,1983,1.46507251
239,Cameroon,1983,0.67430598
240,Canada,1983,6.02896738
241,Chile,1983,2.51822186
242,Colombia,1983,4.20017815
243,Costa Rica,1983,4.28046608
244,Cote d'Ivoire,1983,0.8112601
245,Cyprus,1983,2.18027353
246,Czech Republic,1983,5.07170343
247,Denmark,1983,6.73533964
248,Estonia,1983,3.92247367
249,Ethiopia,1983,1.79956126
250,Finland,1983,5.37109375
251,"Gambia, The",1983,0.58467138
252,Ghana,1983,0.77592826
253,Guinea,1983,0.30125162
254,Guyana,1983,2.38048863
255,"Hong Kong SAR, China",1983,
256,Hungary,1983,4.66643333
257,Iceland,1983,7.21218348
258,"Iran, Islamic Rep.",1983,1.7855711
259,Ireland,1983,4.57751989
260,Israel,1983,4.29216099
261,Italy,1983,5.49627781
262,Jamaica,1983,3.18738079
263,Japan,1983,5.75151682
264,Kenya,1983,1.32658839
265,Kyrgyz Republic,1983,2.13439822
266,Latvia,1983,2.76619649
267,Lesotho,1983,2.94303799
268,Lithuania,1983,4.16442347
269,"Macao SAR, China",1983,
270,Madagascar,1983,2.1105423
271,Malaysia,1983,1.17325473
272,Mali,1983,1.28954971
273,Malta,1983,4.73784733
274,Mauritius,1983,1.55006421
275,Mexico,1983,2.01177883
276,Nepal,1983,0.55427396
277,Netherlands,1983,5.320714
278,New Zealand,1983,5.56446981
279,Niger,1983,1.53187096
280,Norway,1983,6.29948092
281,Oman,1983,2.50450325
282,Pakistan,1983,1.01343811
283,Panama,1983,4.6724925
284,Peru,1983,2.31222916
285,Poland,1983,3.61403513
286,Portugal,1983,5.90206194
287,Saudi Arabia,1983,3.03455424
288,Senegal,1983,1.26322365
289,Slovak Republic,1983,4.68998718
290,Slovenia,1983,5.57140017
291,South Africa,1983,2.73613644
292,Spain,1983,4.91906023
293,Sri Lanka,1983,2.27740288
294,St. Lucia,1983,1.8697567
295,Eswatini,1983,2.41081047
296,Sweden,1983,6.18943739
297,Switzerland,1983,2.67802835
298,Thailand,1983,1.71152949
299,Togo,1983,0.39248648
300,Tunisia,1983,2.65892363
301,United Kingdom,1983,5.59644794
302,Uruguay,1983,4.15722036
303,Zambia,1983,3.18158054
304,Argentina,1984,4.63411379
305,Armenia,1984,0.95468217
306,Australia,1984,5.46949816
307,Austria,1984,6.82578659
308,Azerbaijan,1984,0.86689276
309,Bangladesh,1984,0.57436872
310,Belgium,1984,5.96185923
311,Benin,1984,0.80706608
312,Brazil,1984,3.47024679
313,Bulgaria,1984,3.4715004
314,Burundi,1984,1.46507251
315,Cameroon,1984,0.67430598
316,Canada,1984,6.02896738
317,Chile,1984,2.51822186
318,Colombia,1984,4.20017815
319,Costa Rica,1984,4.28046608
320,Cote d'Ivoire,1984,0.8112601
321,Cyprus,1984,2.18027353
322,Czech Republic,1984,5.07170343
323,Denmark,1984,6.73533964
324,Estonia,1984,3.92247367
325,Ethiopia,1984,1.79956126
326,Finland,1984,5.37109375
327,"Gambia, The",1984,0.58467138
328,Ghana,1984,0.77592826
329,Guinea,1984,0.30125162
330,Guyana,1984,2.38048863
331,"Hong Kong SAR, China",1984,
