,Country Name,variable,value
0,Argentina,1980,695.61942
1,Armenia,1980,
2,Australia,1980,3355.86511
3,Austria,1980,2327.40749
4,Azerbaijan,1980,
5,Bangladesh,1980,
6,Belgium,1980,2461.70357
7,Benin,1980,
8,Brazil,1980,295.23457
9,Bulgaria,1980,1778.95
10,Burundi,1980,20.928
11,Cameroon,1980,
12,Canada,1980,3071.85016
13,Chile,1980,335.80614
14,Colombia,1980,57.3604
15,Costa Rica,1980,131.60255
16,Cote d'Ivoire,1980,69.13831
17,Cyprus,1980,345.60424
18,Czech Republic,1980,1252.42638
19,Denmark,1980,3177.82015
20,Estonia,1980,2117.53981
21,Ethiopia,1980,21.06192
22,Finland,1980,7821.86137
23,"Gambia, The",1980,91.7548
24,Ghana,1980,17.0833
25,Guinea,1980,
26,Guyana,1980,
27,"Hong Kong SAR, China",1980,1062.64742
28,Hungary,1980,1007.31162
29,Iceland,1980,4916.96277
30,"Iran, Islamic Rep.",1980,716.40808
31,Ireland,1980,1773.7516
32,Israel,1980,
33,Italy,1980,1339.53735
34,Jamaica,1980,
35,Japan,1980,4874.80293
36,Kenya,1980,54.39476
37,Kyrgyz Republic,1980,
38,Latvia,1980,1145.29746
39,Lesotho,1980,5.91183
40,Lithuania,1980,2090.04161
41,"Macao SAR, China",1980,260.99585
42,Madagascar,1980,14.38335
43,Malaysia,1980,90.1149
44,Mali,1980,38.85369
45,Malta,1980,682.18641
46,Mauritius,1980,181.81267
47,Mexico,1980,213.57629
48,Nepal,1980,60.6658
49,Netherlands,1980,2283.26272
50,New Zealand,1980,2202.41464
51,Niger,1980,9.27552
52,Norway,1980,3956.77903
53,Oman,1980,148.75852
54,Pakistan,1980,76.12693
55,Panama,1980,111.8267
56,Peru,1980,
57,Poland,1980,1362.61893
58,Portugal,1980,1245.38485
59,Saudi Arabia,1980,
60,Senegal,1980,264.53427
61,Slovak Republic,1980,1858.94041
62,Slovenia,1980,2257.40672
63,South Africa,1980,198.49974
64,Spain,1980,1293.76965
65,Sri Lanka,1980,187.72505
66,St. Lucia,1980,
67,Eswatini,1980,142.34351
68,Sweden,1980,4158.14762
69,Switzerland,1980,3140.79232
70,Thailand,1980,100.41546
71,Togo,1980,26.63846
72,Tunisia,1980,1087.85037
73,United Kingdom,1980,2490.55483
74,Uruguay,1980,218.90187
75,Zambia,1980,47.6459
76,Argentina,1981,695.61942
77,Armenia,1981,
78,Australia,1981,3355.86511
79,Austria,1981,2327.40749
80,Azerbaijan,1981,
81,Bangladesh,1981,
82,Belgium,1981,2461.70357
83,Benin,1981,
84,Brazil,1981,295.23457
85,Bulgaria,1981,1778.95
86,Burundi,1981,20.928
87,Cameroon,1981,
88,Canada,1981,3071.85016
89,Chile,1981,335.80614
90,Colombia,1981,57.3604
91,Costa Rica,1981,131.60255
92,Cote d'Ivoire,1981,69.13831
93,Cyprus,1981,345.60424
94,Czech Republic,1981,1252.42638
95,Denmark,1981,3177.82015
96,Estonia,1981,2117.53981
97,Ethiopia,1981,21.06192
98,Finland,1981,7821.86137
99,"Gambia, The",1981,91.7548
100,Ghana,1981,17.0833
