,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to,total
0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,224.8,449.6,674.4000000000001,899.2,1124.0,1347.0,1570.0,1793.0,2016.0,2239.0,2562.0,2885.0,3208.0,3531.0,3854.0,3993.8,4133.6,4273.4,4413.2,4553.0,4709.0,4865.0,5021.0,5177.0,5333.0,Australia,17103.0
1,Albania,198.0,193.2,188.4,183.6,178.8,174.0,177.0,180.0,183.0,186.0,189.0,198.6,208.2,217.8,227.4,237.0,282.8,328.6,374.4,420.2,466.0,482.6,499.2,515.8,532.4,549.0,567.4,585.8,604.2,622.6,641.0,Australia,2454.0
2,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,65.4,130.8,196.20000000000002,261.6,327.0,341.6,356.2,370.8,385.4,400.0,430.2,460.4,490.6,520.8,551.0,569.8,588.6,607.4,626.2,645.0,665.8,686.6,707.4,728.2,749.0,Australia,2672.0
3,Argentina,2079.0,2222.0,2365.0,2508.0,2651.0,2794.0,3026.8,3259.6,3492.4,3725.2,3958.0,4101.2,4244.4,4387.6,4530.8,4674.0,4780.8,4887.6,4994.4,5101.2,5208.0,5412.0,5616.0,5820.0,6024.0,6228.0,6454.6,6681.2,6907.8,7134.4,7361.0,Australia,32302.0
4,Armenia,114.0,112.8,111.6,110.4,109.2,108.0,152.2,196.4,240.60000000000002,284.8,329.0,336.0,343.0,350.0,357.0,364.0,375.2,386.4,397.6,408.8,420.0,436.6,453.2,469.8,486.4,503.0,521.6,540.2,558.8,577.4,596.0,Australia,2434.0
5,Austria,6564.0,6586.8,6609.6,6632.4,6655.2,6678.0,6705.8,6733.6,6761.4,6789.2,6817.0,6700.4,6583.8,6467.2,6350.6,6234.0,6387.0,6540.0,6693.0,6846.0,6999.0,7259.2,7519.4,7779.6,8039.8,8300.0,8589.6,8879.2,9168.8,9458.4,9748.0,Australia,51340.0
6,Bangladesh,346.0,372.2,398.4,424.6,450.8,477.0,571.6,666.2,760.8,855.4,950.0,1311.0,1672.0,2033.0,2394.0,2755.0,3215.6,3676.2,4136.8,4597.4,5058.0,5231.2,5404.4,5577.6,5750.8,5924.0,6117.6,6311.2,6504.8,6698.4,6892.0,Australia,22402.0
7,Belarus,127.0,125.8,124.6,123.4,122.2,121.0,177.0,233.0,289.0,345.0,401.0,402.2,403.4,404.6,405.8,407.0,418.8,430.6,442.4,454.2,466.0,485.0,504.0,523.0,542.0,561.0,582.2,603.4,624.6,645.8,667.0,Australia,2750.0
8,Belgium,1435.0,1504.2,1573.4,1642.6,1711.8,1781.0,1841.8,1902.6,1963.4,2024.2,2085.0,2102.4,2119.8,2137.2,2154.6,2172.0,2218.6,2265.2,2311.8,2358.4,2405.0,2497.0,2589.0,2681.0,2773.0,2865.0,2967.6,3070.2,3172.8,3275.4,3378.0,Australia,16121.0
9,Bolivia,172.0,182.6,193.2,203.8,214.4,225.0,230.4,235.8,241.2,246.6,252.0,260.4,268.8,277.2,285.6,294.0,306.6,319.2,331.8,344.4,357.0,370.6,384.2,397.8,411.4,425.0,440.4,455.8,471.2,486.6,502.0,Australia,2227.0
10,Bosnia and Herzegovina,4169.0,4326.0,4483.0,4640.0,4797.0,4954.0,4957.4,4960.8,4964.2,4967.6,4971.0,5566.4,6161.8,6757.2,7352.6,7948.0,8275.6,8603.2,8930.8,9258.4,9586.0,9947.6,10309.2,10670.8,11032.4,11394.0,11795.8,12197.6,12599.4,13001.2,13403.0,Australia,56425.0
11,Brazil,534.0,587.8,641.6,695.4,749.2,803.0,929.8,1056.6,1183.4,1310.2,1437.0,1480.0,1523.0,1566.0,1609.0,1652.0,1834.6,2017.2,2199.8,2382.4,2565.0,2671.0,2777.0,2883.0,2989.0,3095.0,3212.4,3329.8,3447.2,3564.6,3682.0,Australia,13768.0
12,Brunei,0.0,62.8,125.6,188.39999999999998,251.2,314.0,367.8,421.6,475.4,529.2,583.0,605.0,627.0,649.0,671.0,693.0,697.4,701.8,706.2,710.6,715.0,742.6,770.2,797.8,825.4,853.0,883.6,914.2,944.8,975.4,1006.0,Australia,4164.0
13,Bulgaria,749.0,760.4,771.8,783.2,794.6,806.0,818.0,830.0,842.0,854.0,866.0,933.2,1000.4,1067.6,1134.8,1202.0,1243.4,1284.8,1326.2,1367.6,1409.0,1462.4,1515.8,1569.2,1622.6,1676.0,1735.0,1794.0,1853.0,1912.0,1971.0,Australia,8679.0
14,Cambodia,825.0,1205.0,1585.0,1965.0,2345.0,2725.0,3059.4,3393.8,3728.2,4062.6,4397.0,4732.0,5067.0,5402.0,5737.0,6072.0,5854.6,5637.2,5419.8,5202.4,4985.0,5163.6,5342.2,5520.8,5699.4,5878.0,6077.2,6276.4,6475.6,6674.8,6874.0,Australia,31756.0
15,Canada,6189.0,6623.2,7057.4,7491.6,7925.8,8360.0,9005.6,9651.2,10296.8,10942.4,11588.0,12077.0,12566.0,13055.0,13544.0,14033.0,14631.8,15230.6,15829.4,16428.2,17027.0,17701.6,18376.2,19050.8,19725.4,20400.0,21148.6,21897.2,22645.8,23394.4,24143.0,Australia,101740.0
16,Chile,5232.0,5627.6,6023.2,6418.8,6814.4,7210.0,7978.0,8746.0,9514.0,10282.0,11050.0,11292.8,11535.6,11778.4,12021.2,12264.0,12460.8,12657.6,12854.4,13051.2,13248.0,13764.0,14280.0,14796.0,15312.0,15828.0,16401.2,16974.4,17547.6,18120.8,18694.0,Australia,83526.0
17,China,11686.0,12611.6,13537.2,14462.8,15388.4,16314.0,21721.0,27128.0,32535.0,37942.0,43349.0,46483.2,49617.4,52751.6,55885.8,59020.0,62038.8,65057.6,68076.4,71095.2,74114.0,77036.4,79958.8,82881.2,85803.6,88726.0,91969.2,95212.4,98455.6,101698.8,104942.0,Australia,398151.0
18,"China, Hong Kong SAR",6110.0,7177.6,8245.2,9312.8,10380.4,11448.0,14154.6,16861.2,19567.8,22274.4,24981.0,25944.6,26908.2,27871.8,28835.4,29799.0,29296.8,28794.6,28292.4,27790.2,27288.0,28352.6,29417.2,30481.8,31546.4,32611.0,33793.4,34975.8,36158.2,37340.6,38523.0,Australia,170760.0
19,"China, Macao SAR",0.0,80.8,161.6,242.39999999999998,323.2,404.0,499.6,595.2,690.8,786.4,882.0,898.2,914.4,930.6,946.8,963.0,928.0,893.0,858.0,823.0,788.0,819.8,851.6,883.4,915.2,947.0,982.2,1017.4,1052.6,1087.8,1123.0,Australia,5107.0
20,Colombia,498.0,530.6,563.2,595.8,628.4,661.0,730.0,799.0,868.0,937.0,1006.0,1056.2,1106.4,1156.6,1206.8,1257.0,1457.2,1657.4,1857.6,2057.8,2258.0,2347.8,2437.6,2527.4,2617.2,2707.0,2806.6,2906.2,3005.8,3105.4,3205.0,Australia,11592.0
21,Croatia,11702.0,12134.8,12567.6,13000.4,13433.2,13866.0,13917.0,13968.0,14019.0,14070.0,14121.0,15716.2,17311.4,18906.6,20501.8,22097.0,20588.4,19079.8,17571.2,16062.6,14554.0,15092.0,15630.0,16168.0,16706.0,17244.0,17843.0,18442.0,19041.0,19640.0,20239.0,Australia,113823.0
