,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to
0,Afghanistan,,,,,,0.0,224.8,449.6,674.4000000000001,899.2,1124.0,1122.2,1120.4,1118.6,1116.8,1115.0,1215.0,1315.0,1415.0,1515.0,1615.0,1431.8,1248.6,1065.4,882.2,699.0,715.2,731.4,747.6,763.8,780.0,Australia
1,Albania,,,,,,0.0,3.0,6.0,9.0,12.0,15.0,21.6,28.2,34.8,41.4,48.0,84.2,120.4,156.60000000000002,192.8,229.0,199.8,170.6,141.4,112.2,83.0,84.8,86.6,88.4,90.2,92.0,Australia
2,Algeria,,,,,,0.0,65.4,130.8,196.20000000000002,261.6,327.0,276.2,225.4,174.60000000000002,123.80000000000001,73.0,88.6,104.2,119.8,135.4,151.0,139.6,128.2,116.8,105.4,94.0,96.0,98.0,100.0,102.0,104.0,Australia
3,Argentina,,,,,,715.0,804.8,894.6,984.4,1074.2,1164.0,1074.4,984.8,895.2,805.6,716.0,679.6,643.2,606.8,570.4,534.0,631.2,728.4,825.6,922.8,1020.0,1042.6,1065.2,1087.8,1110.4,1133.0,Australia
4,Armenia,,,,,,0.0,44.2,88.4,132.60000000000002,176.8,221.0,183.8,146.6,109.39999999999999,72.19999999999999,35.0,39.2,43.4,47.6,51.8,56.0,61.4,66.8,72.2,77.6,83.0,85.0,87.0,89.0,91.0,93.0,Australia
5,Austria,,,,,,114.0,119.0,124.0,129.0,134.0,139.0,111.2,83.4,55.599999999999994,27.799999999999997,0.0,153.0,306.0,459.0,612.0,765.0,872.2,979.4,1086.6,1193.8,1301.0,1330.4,1359.8,1389.2,1418.6,1448.0,Australia
6,Bangladesh,,,,,,131.0,199.4,267.8,336.20000000000005,404.6,473.0,739.4,1005.8,1272.1999999999998,1538.6,1805.0,1904.6,2004.2,2103.8,2203.4,2303.0,2015.6,1728.2,1440.8000000000002,1153.4,866.0,886.4,906.8,927.2,947.6,968.0,Australia
7,Belarus,,,,,,0.0,56.0,112.0,168.0,224.0,280.0,225.2,170.4,115.60000000000002,60.80000000000001,6.0,16.6,27.2,37.8,48.4,59.0,66.2,73.4,80.6,87.8,95.0,97.2,99.4,101.6,103.8,106.0,Australia
8,Belgium,,,,,,346.0,337.6,329.2,320.8,312.4,304.0,260.6,217.2,173.8,130.4,87.0,116.2,145.4,174.6,203.8,233.0,278.4,323.8,369.2,414.6,460.0,470.6,481.2,491.8,502.4,513.0,Australia
9,Bolivia,,,,,,53.0,47.8,42.6,37.4,32.2,27.0,30.0,33.0,36.0,39.0,42.0,46.2,50.4,54.6,58.8,63.0,64.0,65.0,66.0,67.0,68.0,69.8,71.6,73.4,75.2,77.0,Australia
