country;gdp;employment;HDI;life_exp;y;year
Australia;14977604;72;14;77;0,43;1
Australia;14967893;73;14;77;0,43;2
Austria;8205891;67;13;76;0,23;1
Austria;8204562;67;13;73;0,23;2
Canada;27385383;72;14;77;0,12;1
Switzerland;2903671;77;12;74;0,27;1
Chile;7112753;54;14;75;0,24;1
Germany;95029086;65;13;75;0,23;1
Denmark;7112753;76;13;77;0,19;1
Spain;23276682;64;14;75;0,43;1
Finland;5364520;68;12;77;0,32;1
Ireland;70128842;65;13;75;0,22;1
Luxembourg;56494771;66;13;75;0,21;1
Netherlands;5682966;67;14;77;0,18;1
New Zealand;2177390;76;14;75;0,30;1
Norway;623201;65;14;77;0,29;1
Portugal;19515209;66;1;75;0,33;1
Italy;6443938;65;1;77;0,16;1
Sweden;2324455;64;14;78;0,23;1
Russia;3289652;67;14;78;0,25;1
United Kingdom;75985;66;14;76;0,34;1
United States;87490;63;14;75;0,21;1
Switzerland;234567;69;14;77;0,32;1
Chile;123424;70;14;75;0,21;1
Germany;123567;71;14;75;0,24;1
Denmark;654345;71;14;72;0,26;1
Spain;456765;72;14;73;0,27;1
Finland;345423;73;14;77;0,28;1
Ireland;234543;69;14;72;0,31;1
Luxembourg;34543;69;14;74;0,34;1
Netherlands;123454;72;14;75;0,20;1
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
