,country,co2,expRD,expEd,expHealth,gdp,year
1,Albania,5170.47,0.08757000000000001,2.76625538,7.2333703,1857338011.8548825,0
2,Algeria,66519.38,0.23028,2.51082778,3.48903275,42345277342.01955,0
4,Angola,5346.486,0.03229,1.11098742,1.90859938,5930503400.832275,0
6,Argentina,108737.55099999999,0.41748999999999997,4.63411379,8.46696377,76961923741.94786,0
7,Armenia,5826.863,0.18692,0.95468217,4.19581175,2256838858.427141,0
8,Australia,220746.06600000002,1.6665,5.46949816,7.61383343,149776044568.24512,0
9,Austria,52306.087999999996,1.58077,6.82578659,9.20371437,82058912997.23462,0
10,Azerbaijan,56240.779,0.23533,0.86689276,2.94894385,8858006035.915659,0
12,Bahrain,7887.717,0.10116,2.35164309,3.56132603,3072698328.46909,0
15,Belarus,87417.61300000001,0.9985200000000001,4.30438089,5.46676111,21650000000.0,0
16,Belgium,135301.299,1.72963,5.96185923,7.9991765,126829314388.19148,0
20,Bolivia,4668.090999999999,0.32544,2.43201637,4.39554119,4526916802.610114,0
21,Bosnia and Herzegovina,15053.035,0.01854,4.08672619,7.65342188,1255802469.1358025,0
22,Botswana,986.423,0.53286,3.19477272,5.82725811,1060923829.130211,0
23,Brazil,187090.34,1.04751,3.47024679,8.33481598,235024598983.2613,0
24,Brunei Darussalam,6882.959,0.01592,2.14061809,2.5432477,4928824957.967495,0
25,Bulgaria,77487.37700000001,0.42201000000000005,3.4715004,5.82971001,19839230769.23077,0
26,Burkina Faso,432.70599999999996,0.15834,1.08095813,3.31752229,1928720390.2886925,0
27,Burundi,146.68,0.20068,1.46507251,6.17697144,919726666.6666664,0
28,Cabo Verde,121.01100000000001,0.07264,3.16139579,4.43401194,142246875.53671572,0
29,Cambodia,286.026,0.0498,1.2926053999999998,6.54116726,2533727592.0416512,0
31,Canada,443233.95700000005,1.61209,6.02896738,8.27567863,273853826548.06705,0
33,Chad,209.019,0.3005,2.07503939,5.45750713,1033002401.8254576,0
34,Chile,25265.63,0.30956999999999996,2.51822186,7.03517628,29036709871.794876,0
35,China,1467192.369,0.56324,0.98304564,4.47341394,191149211575.0,0
36,Colombia,44356.032,0.29923,4.20017815,5.63529348,33400735644.04812,0
38,"Congo, Dem. Rep.",3501.985,0.26777,0.061828999999999995,1.45309758,14394927494.8647,0
40,Costa Rica,2464.224,0.30377,4.28046608,6.59314299,4831447001.166861,0
41,Cote d'Ivoire,6222.899,0.0956,0.8112600999999999,5.59964752,10175615441.81265,0
42,Croatia,16417.159,0.8404,6.54853821,7.70187807,22534323220.02657,0
43,Cuba,31400.521,0.34736,5.50884342,6.58189821,19912889861.11111,0
44,Cyprus,3208.625,0.20331,2.18027353,5.30800056,2154311276.9485908,0
