"COUNTRY","Country","DLVLEDUC","Level of education","DPROGTYP","Programme orientation","DSRCTYP","Funding source","DTRNSTYP","Type of transactions","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","1997","1997","AUD","Australian Dollar","6","Millions",,,27406.4,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2005","2005","AUD","Australian Dollar","6","Millions",,,45291,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2006","2006","AUD","Australian Dollar","6","Millions",,,47332.4,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2007","2007","AUD","Australian Dollar","6","Millions",,,50644.9,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2008","2008","AUD","Australian Dollar","6","Millions",,,54600.92,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2009","2009","AUD","Australian Dollar","6","Millions",,,64088.76,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2010","2010","AUD","Australian Dollar","6","Millions",,,72218,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","1997","1997","AUD","Australian Dollar","6","Millions",,,12209.2,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2005","2005","AUD","Australian Dollar","6","Millions",,,18875.7,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2006","2006","AUD","Australian Dollar","6","Millions",,,19685.5,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2007","2007","AUD","Australian Dollar","6","Millions",,,21482.5,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2008","2008","AUD","Australian Dollar","6","Millions",,,23976.42,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2009","2009","AUD","Australian Dollar","6","Millions",,,32212.26,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2010","2010","AUD","Australian Dollar","6","Millions",,,37830.02,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","1997","1997","AUD","Australian Dollar","6","Millions",,,16802.3,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2005","2005","AUD","Australian Dollar","6","Millions",,,34984.9,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2006","2006","AUD","Australian Dollar","6","Millions",,,36966.8,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2007","2007","AUD","Australian Dollar","6","Millions",,,39078.3,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2008","2008","AUD","Australian Dollar","6","Millions",,,42177.5,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2009","2009","AUD","Australian Dollar","6","Millions",,,49689,,
