,country,co2,expRD,expEd,expHealth,lifeExp,year
0,Argentina,10.8737551,0.41749,4.63411379,2.60715007781982,6.949599999999999,0
1,Armenia,0.5826863,0.18692,0.95468217,1.84843003749847,7.0937,0
2,Australia,22.0746066,1.6665,5.46949816,5.65407991409302,7.433365853658536,0
3,Austria,5.230608800000001,1.58077,6.82578659,5.00896978378296,7.246341463414635,0
4,Azerbaijan,5.6240779000000005,0.23533,0.86689276,6.05797004699707,6.4161,0
5,Bangladesh,0.7638361,,0.57436872,0.937600016593933,5.29,0
6,Belgium,13.5301299,1.72963,5.96185923,5.31063985824585,7.320707317073172,0
7,Benin,0.0517047,,0.80706608,2.74788999557495,4.718999999999999,0
8,Brazil,18.709034,1.04751,3.47024679,4.56816005706787,6.263,0
9,Bulgaria,7.7487376999999995,0.42201,3.4715004,3.52947998046875,7.1157560975609755,0
10,Burundi,0.014668,0.20068,1.46507251,3.34676003456116,4.6852,0
11,Cameroon,0.3905355,,0.67430598,2.98497009277344,5.1537,0
12,Canada,44.3233957,1.61209,6.02896738,6.48467016220093,7.5078048780487805,0
13,Chile,2.526563,0.30957,2.51822186,4.21999979019165,6.9033,0
14,Colombia,4.4356032,0.29923,4.20017815,1.72912001609802,6.6926000000000005,0
15,Costa Rica,0.2464224,0.30377,4.28046608,7.34716987609863,7.2113,0
16,Cote d'Ivoire,0.6222899000000001,0.0956,0.8112601,6.85975980758667,5.107200000000001,0
17,Cyprus,0.3208625,0.20331,2.18027353,3.42600989341736,7.479000000000001,0
18,Czech Republic,13.817622700000001,0.89446,5.07170343,3.77507996559143,7.027804878048781,0
19,Denmark,6.0369821,1.80667,6.73533964,5.91093015670776,7.410170731707318,0
20,Estonia,2.3879504000000003,0.57074,3.92247367,5.70691013336182,6.890563414634147,0
21,Ethiopia,0.1822499,0.17917,1.79956126,2.11234998703003,4.3747,0
22,Finland,5.8246628,2.45311,5.37109375,4.82574987411499,7.343999999999999,0
23,"Gambia, The",0.0157681,0.02039,0.58467138,4.29514980316162,4.6341,0
24,Ghana,0.2559566,0.23157,0.77592826,2.70777010917664,5.2277000000000005,0
25,Guinea,0.0964421,,0.30125162,2.01639008522034,4.13,0
26,Guyana,0.17894960000000001,,2.38048863,8.2534704208374,6.2498,0
27,"Hong Kong SAR, China",1.6662848000000001,0.4283,,2.19214010238647,7.467317073170731,0
28,Hungary,8.686022900000001,0.63025,4.66643333,5.87939977645874,6.906170731707318,0
29,Iceland,0.1866503,1.7954,7.21218348,4.25224018096924,7.684658536585367,0
30,"Iran, Islamic Rep.",12.090099,0.50218,1.7855711,7.1314001083374,5.4113999999999995,0
31,Ireland,2.625572,1.27006,4.57751989,5.31584978103638,7.2623243902439025,0
32,Israel,2.1147589,2.59385,4.29216099,7.14694976806641,7.387560975609756,0
33,Italy,38.8969691,0.94843,5.49627781,4.48805999755859,7.394317073170733,0
34,Jamaica,0.8452434999999999,0.0491,3.18738079,5.39190006256104,7.079300000000001,0
35,Japan,94.7571135,2.69206,5.75151682,5.0687198638916,7.609170731707318,0
36,Kenya,0.6197229999999999,0.35521,1.32658839,5.38787984848022,5.7881,0
37,Kyrgyz Republic,1.1133012,0.1939,2.13439822,5.58819007873535,6.290378048780489,0
38,Latvia,1.4143619,0.39723,2.76619649,5.27811002731323,6.880853658536585,0
39,Lesotho,0.1474134,0.04185,2.94303799,10.0969400405884,5.6701999999999995,0
40,Lithuania,2.214868,0.49155,4.16442347,4.76492023468018,7.048219512195122,0
41,"Macao SAR, China",0.0528048,0.06268,,3.37756991386414,7.3974,0
42,Madagascar,0.1617147,0.22032,2.1105423,3.35711002349854,4.9005,0
43,Malaysia,2.7997544999999997,0.21645,1.17325473,5.72619009017944,6.8117,0
44,Mali,0.039236900000000005,0.21855,1.28954971,3.47065997123718,3.9677,0
