,country_from,1980,1985,1990,1995,2000,2005,2010,country_to,total
30,Canada,6189.0,8360.0,11588.0,14033.0,17027.0,20400.0,24143.0,Australia,101740.0
34,Chile,5232.0,7210.0,11050.0,12264.0,13248.0,15828.0,18694.0,Australia,83526.0
35,China,11686.0,16314.0,43349.0,59020.0,74114.0,88726.0,104942.0,Australia,398151.0
36,"China, Hong Kong SAR",6110.0,11448.0,24981.0,29799.0,27288.0,32611.0,38523.0,Australia,170760.0
44,Croatia,11702.0,13866.0,14121.0,22097.0,14554.0,17244.0,20239.0,Australia,113823.0
53,Egypt,13352.0,14772.0,17063.0,17826.0,18023.0,21282.0,24913.0,Australia,127231.0
59,Fiji,2843.0,5070.0,11389.0,15263.0,19262.0,22985.0,27120.0,Australia,103932.0
65,Germany,29943.0,33343.0,36152.0,37363.0,38440.0,45853.0,54088.0,Australia,275182.0
67,Greece,17611.0,21114.0,24951.0,24871.0,18947.0,22340.0,26123.0,Australia,155957.0
76,Hungary,13180.0,12999.0,13357.0,11924.0,11133.0,13227.0,15556.0,Australia,91376.0
78,India,18793.0,23398.0,26749.0,43241.0,55514.0,65901.0,77458.0,Australia,311054.0
79,Indonesia,7093.0,9258.0,15473.0,17501.0,21045.0,25239.0,29891.0,Australia,125500.0
82,Ireland,10310.0,11444.0,16356.0,18589.0,22801.0,27221.0,32129.0,Australia,138850.0
84,Italy,26005.0,31232.0,35651.0,35481.0,28401.0,33276.0,38726.0,Australia,228772.0
86,Japan,3969.0,5646.0,11782.0,11599.0,15954.0,19513.0,23442.0,Australia,91905.0
91,Korea,1792.0,3821.0,10020.0,13711.0,20444.0,24534.0,29069.0,Australia,103391.0
96,Lebanon,8136.0,11225.0,17700.0,20611.0,19505.0,23061.0,27022.0,Australia,127260.0
103,Macedonia,9968.0,11780.0,11643.0,18643.0,12583.0,14852.0,17381.0,Australia,96850.0
106,Malaysia,12226.0,19030.0,35366.0,38664.0,38620.0,46171.0,54554.0,Australia,244631.0
124,Netherlands,26105.0,28265.0,30189.0,29562.0,30259.0,35733.0,41833.0,Australia,221946.0
125,New Zealand,34448.0,49444.0,71264.0,89224.0,124896.0,148937.0,175647.0,Australia,693860.0
138,Philippines,8163.0,17026.0,37036.0,43993.0,51487.0,63014.0,75735.0,Australia,296454.0
139,Poland,18978.0,26887.0,29768.0,28437.0,27241.0,32660.0,38671.0,Australia,202642.0
153,Serbia and Montenegro,2745.0,3249.0,14456.0,5165.0,19109.0,22678.0,26649.0,Australia,94051.0
156,Singapore,4174.0,6281.0,10155.0,12143.0,14564.0,17457.0,20666.0,Australia,85440.0
161,South Africa,9692.0,14852.0,21396.0,28274.0,44507.0,53166.0,62781.0,Australia,234668.0
163,Sri Lanka,8574.0,12156.0,21422.0,27523.0,30913.0,36680.0,43097.0,Australia,180365.0
