,country_from,1980,1985,1990,1995,2000,2005,2010,country_to,total
0,Afghanistan,0.0,0.0,598.0,1290.0,3190.0,3478.0,3713.0,Australia,12269.0
1,Albania,654.0,518.0,413.0,437.0,536.0,548.0,542.0,Australia,3648.0
6,Argentina,1685.0,2127.0,2762.0,3189.0,3620.0,4264.0,4920.0,Australia,22567.0
9,Austria,5528.0,5624.0,6743.0,5743.0,6299.0,6830.0,7247.0,Australia,44014.0
13,Bangladesh,149.0,203.0,443.0,1210.0,2365.0,2853.0,3363.0,Australia,10586.0
15,Belarus,97.0,91.0,347.0,316.0,369.0,430.0,491.0,Australia,2141.0
16,Belgium,1060.0,1227.0,1413.0,1562.0,1548.0,1837.0,2135.0,Australia,10782.0
21,Bosnia and Herzegovina,3217.0,3599.0,4866.0,5443.0,6578.0,7616.0,8643.0,Australia,39962.0
23,Brazil,369.0,520.0,871.0,1065.0,1656.0,2051.0,2473.0,Australia,9005.0
24,Brunei,0.0,162.0,307.0,385.0,402.0,497.0,600.0,Australia,2353.0
25,Bulgaria,566.0,567.0,598.0,812.0,946.0,1103.0,1259.0,Australia,5851.0
28,Cambodia,530.0,2426.0,3956.0,5960.0,6617.0,6654.0,6456.0,Australia,32599.0
30,Canada,4099.0,5245.0,6910.0,8308.0,9646.0,12110.0,14770.0,Australia,61088.0
34,Chile,3023.0,4351.0,6663.0,7505.0,7925.0,9690.0,11559.0,Australia,50716.0
35,China,8383.0,12152.0,26066.0,39144.0,51645.0,61012.0,70565.0,Australia,268967.0
36,"China, Hong Kong SAR",3493.0,6773.0,14805.0,17929.0,16936.0,20516.0,24271.0,Australia,104723.0
37,"China, Macao SAR",0.0,256.0,556.0,660.0,561.0,667.0,776.0,Australia,3476.0
38,Colombia,307.0,423.0,621.0,803.0,1366.0,1685.0,2025.0,Australia,7230.0
44,Croatia,17107.0,17895.0,13822.0,23246.0,17860.0,18338.0,18262.0,Australia,126530.0
46,Cyprus,6260.0,6691.0,6944.0,7129.0,6880.0,7105.0,7125.0,Australia,48134.0
47,Czech Republic,3446.0,3855.0,3669.0,3997.0,2666.0,3114.0,3562.0,Australia,24309.0
48,Denmark,1849.0,1991.0,2716.0,2700.0,3176.0,3548.0,3885.0,Australia,19865.0
52,Ecuador,236.0,249.0,344.0,399.0,452.0,541.0,634.0,Australia,2855.0
53,Egypt,7609.0,8280.0,9601.0,10685.0,10676.0,12525.0,14392.0,Australia,73768.0
54,El Salvador,0.0,375.0,1849.0,2221.0,2608.0,3089.0,3579.0,Australia,13721.0
57,Estonia,2438.0,2072.0,938.0,1369.0,936.0,1080.0,1222.0,Australia,10055.0
58,Ethiopia,0.0,0.0,337.0,611.0,920.0,1088.0,1259.0,Australia,4215.0
59,Fiji,1815.0,3222.0,7100.0,9957.0,12210.0,14626.0,17131.0,Australia,66061.0
60,Finland,2641.0,2761.0,2528.0,3071.0,2966.0,3261.0,3512.0,Australia,20740.0
61,France,3539.0,4245.0,5269.0,5758.0,6310.0,7512.0,8750.0,Australia,41383.0
65,Germany,24879.0,26727.0,30482.0,30133.0,33431.0,37090.0,40333.0,Australia,223075.0
66,Ghana,0.0,0.0,222.0,356.0,481.0,563.0,646.0,Australia,2268.0
67,Greece,51512.0,49592.0,49163.0,49131.0,45528.0,43136.0,38527.0,Australia,326589.0
76,Hungary,8482.0,8446.0,9044.0,8550.0,8630.0,9701.0,10694.0,Australia,63547.0
78,India,10464.0,12905.0,15083.0,24147.0,29754.0,36624.0,43933.0,Australia,172910.0
79,Indonesia,3352.0,4964.0,9068.0,11518.0,12989.0,15958.0,19110.0,Australia,76959.0
80,Iran,944.0,1963.0,3707.0,4788.0,6095.0,7228.0,8390.0,Australia,33115.0
81,Iraq,640.0,1124.0,1437.0,3463.0,6791.0,7188.0,7422.0,Australia,28065.0
82,Ireland,14758.0,14220.0,15467.0,17862.0,17068.0,19633.0,22141.0,Australia,121149.0
83,Israel,1578.0,1843.0,1659.0,1808.0,1954.0,2371.0,2809.0,Australia,14022.0
84,Italy,98658.0,93791.0,93652.0,91911.0,85151.0,78993.0,68312.0,Australia,610468.0
86,Japan,2438.0,3438.0,7219.0,8210.0,11182.0,14121.0,17306.0,Australia,63914.0
87,Jordan,207.0,253.0,579.0,784.0,901.0,1061.0,1225.0,Australia,5010.0
89,Kenya,624.0,1022.0,1267.0,1667.0,1958.0,2450.0,2980.0,Australia,11968.0
91,Korea,977.0,2288.0,5661.0,8354.0,12809.0,15704.0,18773.0,Australia,64566.0
92,Kuwait,36.0,46.0,108.0,307.0,499.0,592.0,686.0,Australia,2274.0
94,Laos,656.0,1377.0,2191.0,2853.0,3040.0,3306.0,3520.0,Australia,16943.0
95,Latvia,5759.0,5317.0,2609.0,3685.0,2675.0,3041.0,3390.0,Australia,26476.0
96,Lebanon,11137.0,14093.0,17906.0,22735.0,22419.0,23135.0,23184.0,Australia,134609.0
101,Lithuania,2740.0,2450.0,1430.0,1777.0,1430.0,1528.0,1597.0,Australia,12952.0
103,Macedonia,15469.0,16056.0,11397.0,20438.0,14134.0,14582.0,14607.0,Australia,106683.0
106,Malaysia,6424.0,10584.0,19977.0,22566.0,22501.0,27787.0,33423.0,Australia,143262.0
109,Malta,18783.0,18786.0,15916.0,18456.0,16903.0,15888.0,14021.0,Australia,118753.0
112,Mauritius,2392.0,3423.0,4833.0,5487.0,4269.0,4946.0,5616.0,Australia,30966.0
113,Mexico,106.0,176.0,230.0,274.0,410.0,510.0,616.0,Australia,2322.0
120,Myanmar,1734.0,2087.0,2443.0,3302.0,3553.0,4210.0,4881.0,Australia,22210.0
123,Nepal,0.0,0.0,80.0,207.0,547.0,617.0,683.0,Australia,2134.0
124,Netherlands,23079.0,23672.0,24544.0,26090.0,25786.0,27920.0,29577.0,Australia,180668.0
125,New Zealand,27682.0,38503.0,44678.0,71286.0,81354.0,96531.0,112098.0,Australia,472132.0
128,Nigeria,0.0,0.0,238.0,323.0,452.0,545.0,643.0,Australia,2201.0
129,Norway,932.0,912.0,866.0,948.0,1161.0,1324.0,1480.0,Australia,7623.0
130,Occupied Palestinian Territory,0.0,0.0,23.0,789.0,818.0,897.0,964.0,Australia,3491.0
132,Pakistan,490.0,811.0,1258.0,1946.0,2875.0,3459.0,4067.0,Australia,14906.0
135,Papua New Guinea,1650.0,2599.0,3590.0,5664.0,6276.0,7713.0,9239.0,Australia,36731.0
137,Peru,609.0,767.0,1215.0,1621.0,2176.0,2738.0,3345.0,Australia,12471.0
138,Philippines,5781.0,13122.0,27076.0,32794.0,37254.0,46685.0,56851.0,Australia,219563.0
139,Poland,22249.0,24916.0,25282.0,24351.0,22672.0,25765.0,28712.0,Australia,173947.0
140,Portugal,3476.0,4353.0,5626.0,5651.0,5136.0,5005.0,4656.0,Australia,33903.0
142,Romania,1709.0,2208.0,3229.0,3790.0,4278.0,4980.0,5680.0,Australia,25874.0
143,Russia,1672.0,1605.0,4902.0,5439.0,5551.0,6707.0,7916.0,Australia,33792.0
148,Samoa,198.0,877.0,1839.0,3536.0,4029.0,4415.0,4740.0,Australia,19634.0
153,Serbia and Montenegro,2829.0,3038.0,14151.0,4206.0,18447.0,19779.0,20726.0,Australia,83176.0
154,Seychelles,0.0,0.0,707.0,884.0,806.0,854.0,882.0,Australia,4133.0
156,Singapore,2359.0,3727.0,5886.0,7282.0,8880.0,10926.0,13102.0,Australia,52162.0
157,Slovakia,1332.0,1475.0,1835.0,1523.0,1134.0,1314.0,1490.0,Australia,10103.0
158,Slovenia,2557.0,2649.0,1862.0,3354.0,2588.0,2604.0,2527.0,Australia,18141.0
160,Somalia,0.0,0.0,65.0,325.0,619.0,709.0,798.0,Australia,2516.0
161,South Africa,5506.0,7985.0,11436.0,15376.0,24234.0,30440.0,37139.0,Australia,132116.0
162,Spain,3780.0,4178.0,4316.0,4291.0,4148.0,4409.0,4576.0,Australia,29698.0
163,Sri Lanka,4035.0,5972.0,10780.0,14410.0,15697.0,19593.0,23779.0,Australia,94266.0
164,Sudan,0.0,0.0,359.0,647.0,1070.0,1269.0,1473.0,Australia,4818.0
167,Sweden,1103.0,1306.0,1715.0,1958.0,2461.0,2931.0,3415.0,Australia,14889.0
168,Switzerland,1274.0,1485.0,1957.0,2137.0,3375.0,3955.0,4538.0,Australia,18721.0
169,Syria,751.0,981.0,1507.0,1888.0,2236.0,2384.0,2482.0,Australia,12229.0
170,Taiwan,216.0,610.0,3287.0,4429.0,6443.0,7915.0,9477.0,Australia,32377.0
172,Tanzania,153.0,303.0,366.0,504.0,576.0,713.0,858.0,Australia,3473.0
173,Thailand,672.0,1278.0,2929.0,4071.0,5786.0,7159.0,8624.0,Australia,30519.0
174,Timor Leste,441.0,1198.0,502.0,499.0,3017.0,3129.0,3154.0,Australia,11940.0
176,Tonga,673.0,1328.0,1950.0,2591.0,2499.0,2798.0,3072.0,Australia,14911.0
177,Trinidad and Tobago,0.0,0.0,305.0,402.0,401.0,503.0,613.0,Australia,2224.0
179,Turkey,5587.0,5941.0,7050.0,8873.0,9295.0,9576.0,9578.0,Australia,55900.0
182,Uganda,106.0,209.0,264.0,410.0,434.0,541.0,657.0,Australia,2621.0
183,Ukraine,5748.0,5344.0,4984.0,5229.0,5125.0,5654.0,6114.0,Australia,38198.0
185,United Kingdom,252265.0,261836.0,240923.0,307034.0,272561.0,313167.0,352787.0,Australia,2000573.0
186,United States,7858.0,10768.0,15283.0,15854.0,17955.0,22615.0,27655.0,Australia,117988.0
187,Uruguay,2001.0,2239.0,2656.0,3168.0,3235.0,3636.0,4008.0,Australia,20943.0
191,Vietnam,6440.0,17791.0,29762.0,44343.0,49470.0,54675.0,59217.0,Australia,261698.0
193,Zambia,199.0,389.0,503.0,770.0,1047.0,1325.0,1628.0,Australia,5861.0
194,Zimbabwe,605.0,1206.0,1905.0,2492.0,3506.0,4436.0,5446.0,Australia,19596.0
197,Albania,63.0,103.0,268.0,325.0,362.0,450.0,468.0,Austria,2039.0
209,Bangladesh,5.0,66.0,225.0,453.0,597.0,607.0,607.0,Austria,2560.0
217,Bosnia and Herzegovina,17416.0,13518.0,20973.0,25271.0,23742.0,23767.0,23696.0,Austria,148383.0
219,Brazil,47.0,87.0,231.0,398.0,556.0,705.0,737.0,Austria,2761.0
221,Bulgaria,181.0,435.0,1273.0,1500.0,1643.0,2197.0,2320.0,Austria,9549.0
