,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to,total
0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,119.6,239.2,358.79999999999995,478.4,598.0,736.4,874.8,1013.2,1151.6,1290.0,1670.0,2050.0,2430.0,2810.0,3190.0,3247.6,3305.2,3362.8,3420.4,3478.0,3525.0,3572.0,3619.0,3666.0,3713.0,Australia,12269.0
1,Albania,654.0,626.8,599.6,572.4,545.2,518.0,497.0,476.0,455.0,434.0,413.0,417.8,422.6,427.4,432.2,437.0,456.8,476.6,496.4,516.2,536.0,538.4,540.8,543.2,545.6,548.0,546.8,545.6,544.4,543.2,542.0,Australia,3648.0
2,Argentina,1685.0,1773.4,1861.8,1950.2,2038.6,2127.0,2254.0,2381.0,2508.0,2635.0,2762.0,2847.4,2932.8,3018.2,3103.6,3189.0,3275.2,3361.4,3447.6,3533.8,3620.0,3748.8,3877.6,4006.4,4135.2,4264.0,4395.2,4526.4,4657.6,4788.8,4920.0,Australia,22567.0
3,Austria,5528.0,5547.2,5566.4,5585.6,5604.8,5624.0,5847.8,6071.6,6295.4,6519.2,6743.0,6543.0,6343.0,6143.0,5943.0,5743.0,5854.2,5965.4,6076.6,6187.8,6299.0,6405.2,6511.4,6617.6,6723.8,6830.0,6913.4,6996.8,7080.2,7163.6,7247.0,Australia,44014.0
4,Bangladesh,149.0,159.8,170.6,181.4,192.2,203.0,251.0,299.0,347.0,395.0,443.0,596.4,749.8,903.2,1056.6,1210.0,1441.0,1672.0,1903.0,2134.0,2365.0,2462.6,2560.2,2657.8,2755.4,2853.0,2955.0,3057.0,3159.0,3261.0,3363.0,Australia,10586.0
5,Belarus,97.0,95.8,94.6,93.4,92.2,91.0,142.2,193.4,244.60000000000002,295.8,347.0,340.8,334.6,328.4,322.2,316.0,326.6,337.2,347.8,358.4,369.0,381.2,393.4,405.6,417.8,430.0,442.2,454.4,466.6,478.8,491.0,Australia,2141.0
6,Belgium,1060.0,1093.4,1126.8,1160.2,1193.6,1227.0,1264.2,1301.4,1338.6,1375.8,1413.0,1442.8,1472.6,1502.4,1532.2,1562.0,1559.2,1556.4,1553.6,1550.8,1548.0,1605.8,1663.6,1721.4,1779.2,1837.0,1896.6,1956.2,2015.8,2075.4,2135.0,Australia,10782.0
7,Bosnia and Herzegovina,3217.0,3293.4,3369.8,3446.2,3522.6,3599.0,3852.4,4105.8,4359.2,4612.6,4866.0,4981.4,5096.8,5212.2,5327.6,5443.0,5670.0,5897.0,6124.0,6351.0,6578.0,6785.6,6993.2,7200.8,7408.4,7616.0,7821.4,8026.8,8232.2,8437.6,8643.0,Australia,39962.0
8,Brazil,369.0,399.2,429.4,459.6,489.8,520.0,590.2,660.4,730.6,800.8,871.0,909.8,948.6,987.4,1026.2,1065.0,1183.2,1301.4,1419.6,1537.8,1656.0,1735.0,1814.0,1893.0,1972.0,2051.0,2135.4,2219.8,2304.2,2388.6,2473.0,Australia,9005.0
9,Brunei,0.0,32.4,64.8,97.19999999999999,129.6,162.0,191.0,220.0,249.0,278.0,307.0,322.6,338.2,353.8,369.4,385.0,388.4,391.8,395.2,398.6,402.0,421.0,440.0,459.0,478.0,497.0,517.6,538.2,558.8,579.4,600.0,Australia,2353.0
10,Bulgaria,566.0,566.2,566.4,566.6,566.8,567.0,573.2,579.4,585.6,591.8,598.0,640.8,683.6,726.4,769.2,812.0,838.8,865.6,892.4,919.2,946.0,977.4,1008.8,1040.2,1071.6,1103.0,1134.2,1165.4,1196.6,1227.8,1259.0,Australia,5851.0
11,Cambodia,530.0,909.2,1288.4,1667.6,2046.8,2426.0,2732.0,3038.0,3344.0,3650.0,3956.0,4356.8,4757.6,5158.4,5559.2,5960.0,6091.4,6222.8,6354.2,6485.6,6617.0,6624.4,6631.8,6639.2,6646.6,6654.0,6614.4,6574.8,6535.2,6495.6,6456.0,Australia,32599.0
12,Canada,4099.0,4328.2,4557.4,4786.6,5015.8,5245.0,5578.0,5911.0,6244.0,6577.0,6910.0,7189.6,7469.2,7748.8,8028.4,8308.0,8575.6,8843.2,9110.8,9378.4,9646.0,10138.8,10631.6,11124.4,11617.2,12110.0,12642.0,13174.0,13706.0,14238.0,14770.0,Australia,61088.0
13,Chile,3023.0,3288.6,3554.2,3819.8,4085.4,4351.0,4813.4,5275.8,5738.2,6200.6,6663.0,6831.4,6999.8,7168.2,7336.6,7505.0,7589.0,7673.0,7757.0,7841.0,7925.0,8278.0,8631.0,8984.0,9337.0,9690.0,10063.8,10437.6,10811.4,11185.2,11559.0,Australia,50716.0
14,China,8383.0,9136.8,9890.6,10644.4,11398.2,12152.0,14934.8,17717.6,20500.4,23283.2,26066.0,28681.6,31297.2,33912.8,36528.4,39144.0,41644.2,44144.4,46644.6,49144.8,51645.0,53518.4,55391.8,57265.2,59138.6,61012.0,62922.6,64833.2,66743.8,68654.4,70565.0,Australia,268967.0
15,"China, Hong Kong SAR",3493.0,4149.0,4805.0,5461.0,6117.0,6773.0,8379.4,9985.8,11592.2,13198.6,14805.0,15429.8,16054.6,16679.4,17304.2,17929.0,17730.4,17531.8,17333.2,17134.6,16936.0,17652.0,18368.0,19084.0,19800.0,20516.0,21267.0,22018.0,22769.0,23520.0,24271.0,Australia,104723.0
16,"China, Macao SAR",0.0,51.2,102.4,153.60000000000002,204.8,256.0,316.0,376.0,436.0,496.0,556.0,576.8,597.6,618.4,639.2,660.0,640.2,620.4,600.6,580.8,561.0,582.2,603.4,624.6,645.8,667.0,688.8,710.6,732.4,754.2,776.0,Australia,3476.0
17,Colombia,307.0,330.2,353.4,376.6,399.8,423.0,462.6,502.2,541.8,581.4,621.0,657.4,693.8,730.2,766.6,803.0,915.6,1028.2,1140.8,1253.4,1366.0,1429.8,1493.6,1557.4,1621.2,1685.0,1753.0,1821.0,1889.0,1957.0,2025.0,Australia,7230.0
18,Croatia,17107.0,17264.6,17422.2,17579.8,17737.4,17895.0,17080.4,16265.8,15451.2,14636.6,13822.0,15706.8,17591.6,19476.4,21361.2,23246.0,22168.8,21091.6,20014.4,18937.2,17860.0,17955.6,18051.2,18146.8,18242.4,18338.0,18322.8,18307.6,18292.4,18277.2,18262.0,Australia,126530.0
19,Cyprus,6260.0,6346.2,6432.4,6518.6,6604.8,6691.0,6741.6,6792.2,6842.8,6893.4,6944.0,6981.0,7018.0,7055.0,7092.0,7129.0,7079.2,7029.4,6979.6,6929.8,6880.0,6925.0,6970.0,7015.0,7060.0,7105.0,7109.0,7113.0,7117.0,7121.0,7125.0,Australia,48134.0
20,Czech Republic,3446.0,3527.8,3609.6,3691.4,3773.2,3855.0,3817.8,3780.6,3743.4,3706.2,3669.0,3734.6,3800.2,3865.8,3931.4,3997.0,3730.8,3464.6,3198.4,2932.2,2666.0,2755.6,2845.2,2934.8,3024.4,3114.0,3203.6,3293.2,3382.8,3472.4,3562.0,Australia,24309.0
21,Denmark,1849.0,1877.4,1905.8,1934.2,1962.6,1991.0,2136.0,2281.0,2426.0,2571.0,2716.0,2712.8,2709.6,2706.4,2703.2,2700.0,2795.2,2890.4,2985.6,3080.8,3176.0,3250.4,3324.8,3399.2,3473.6,3548.0,3615.4,3682.8,3750.2,3817.6,3885.0,Australia,19865.0
22,Ecuador,236.0,238.6,241.2,243.8,246.4,249.0,268.0,287.0,306.0,325.0,344.0,355.0,366.0,377.0,388.0,399.0,409.6,420.2,430.8,441.4,452.0,469.8,487.6,505.4,523.2,541.0,559.6,578.2,596.8,615.4,634.0,Australia,2855.0
23,Egypt,7609.0,7743.2,7877.4,8011.6,8145.8,8280.0,8544.2,8808.4,9072.6,9336.8,9601.0,9817.8,10034.6,10251.4,10468.2,10685.0,10683.2,10681.4,10679.6,10677.8,10676.0,11045.8,11415.6,11785.4,12155.2,12525.0,12898.4,13271.8,13645.2,14018.6,14392.0,Australia,73768.0
24,El Salvador,0.0,75.0,150.0,225.0,300.0,375.0,669.8,964.6,1259.4,1554.2,1849.0,1923.4,1997.8,2072.2,2146.6,2221.0,2298.4,2375.8,2453.2,2530.6,2608.0,2704.2,2800.4,2896.6,2992.8,3089.0,3187.0,3285.0,3383.0,3481.0,3579.0,Australia,13721.0
25,Estonia,2438.0,2364.8,2291.6,2218.4,2145.2,2072.0,1845.2,1618.4,1391.6,1164.8,938.0,1024.2,1110.4,1196.6,1282.8,1369.0,1282.4,1195.8,1109.2,1022.6,936.0,964.8,993.6,1022.4,1051.2,1080.0,1108.4,1136.8,1165.2,1193.6,1222.0,Australia,10055.0
26,Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0,67.4,134.8,202.20000000000002,269.6,337.0,391.8,446.6,501.4,556.2,611.0,672.8,734.6,796.4,858.2,920.0,953.6,987.2,1020.8,1054.4,1088.0,1122.2,1156.4,1190.6,1224.8,1259.0,Australia,4215.0
27,Fiji,1815.0,2096.4,2377.8,2659.2,2940.6,3222.0,3997.6,4773.2,5548.8,6324.4,7100.0,7671.4,8242.8,8814.2,9385.6,9957.0,10407.6,10858.2,11308.8,11759.4,12210.0,12693.2,13176.4,13659.6,14142.8,14626.0,15127.0,15628.0,16129.0,16630.0,17131.0,Australia,66061.0
28,Finland,2641.0,2665.0,2689.0,2713.0,2737.0,2761.0,2714.4,2667.8,2621.2,2574.6,2528.0,2636.6,2745.2,2853.8,2962.4,3071.0,3050.0,3029.0,3008.0,2987.0,2966.0,3025.0,3084.0,3143.0,3202.0,3261.0,3311.2,3361.4,3411.6,3461.8,3512.0,Australia,20740.0
