,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to,total
0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,98.4,196.8,295.20000000000005,393.6,492.0,596.0,700.0,804.0,908.0,1012.0,1187.4,1362.8,1538.2,1713.6,1889.0,1987.6,2086.2,2184.8,2283.4,2382.0,2490.2,2598.4,2706.6,2814.8,2923.0,Australia,8698.0
1,Argentina,1449.0,1526.4,1603.8,1681.2,1758.6,1836.0,1977.8,2119.6,2261.4,2403.2,2545.0,2634.8,2724.6,2814.4,2904.2,2994.0,3133.4,3272.8,3412.2,3551.6,3691.0,3859.6,4028.2,4196.8,4365.4,4534.0,4718.8,4903.6,5088.4,5273.2,5458.0,Australia,22507.0
2,Austria,7967.0,7983.8,8000.6,8017.4,8034.2,8051.0,7846.6,7642.2,7437.8,7233.4,7029.0,7069.0,7109.0,7149.0,7189.0,7229.0,7018.2,6807.4,6596.6,6385.8,6175.0,6405.8,6636.6,6867.4,7098.2,7329.0,7582.4,7835.8,8089.2,8342.6,8596.0,Australia,52376.0
3,Bangladesh,142.0,155.0,168.0,181.0,194.0,207.0,289.4,371.8,454.20000000000005,536.6,619.0,723.6,828.2,932.8,1037.4,1142.0,1333.4,1524.8,1716.2,1907.6,2099.0,2210.8,2322.6,2434.4,2546.2,2658.0,2780.2,2902.4,3024.6,3146.8,3269.0,Australia,10136.0
4,Belgium,1119.0,1167.2,1215.4,1263.6,1311.8,1360.0,1401.2,1442.4,1483.6,1524.8,1566.0,1549.4,1532.8,1516.2,1499.6,1483.0,1528.0,1573.0,1618.0,1663.0,1708.0,1783.6,1859.2,1934.8,2010.4,2086.0,2168.8,2251.6,2334.4,2417.2,2500.0,Australia,11822.0
5,Bosnia and Herzegovina,2336.0,2441.0,2546.0,2651.0,2756.0,2861.0,3128.4,3395.8,3663.2,3930.6,4198.0,4276.4,4354.8,4433.2,4511.6,4590.0,4867.8,5145.6,5423.4,5701.2,5979.0,6260.4,6541.8,6823.2,7104.6,7386.0,7694.2,8002.4,8310.6,8618.8,8927.0,Australia,36277.0
6,Brazil,353.0,385.4,417.8,450.2,482.6,515.0,582.4,649.8,717.2,784.6,852.0,886.0,920.0,954.0,988.0,1022.0,1158.4,1294.8,1431.2,1567.6,1704.0,1791.4,1878.8,1966.2,2053.6,2141.0,2236.6,2332.2,2427.8,2523.4,2619.0,Australia,9206.0
7,Brunei,0.0,32.0,64.0,96.0,128.0,160.0,189.8,219.6,249.4,279.2,309.0,322.4,335.8,349.2,362.6,376.0,385.0,394.0,403.0,412.0,421.0,442.2,463.4,484.6,505.8,527.0,550.4,573.8,597.2,620.6,644.0,Australia,2437.0
8,Bulgaria,371.0,383.0,395.0,407.0,419.0,431.0,442.2,453.4,464.6,475.8,487.0,513.8,540.6,567.4,594.2,621.0,663.8,706.6,749.4,792.2,835.0,875.8,916.6,957.4,998.2,1039.0,1083.6,1128.2,1172.8,1217.4,1262.0,Australia,5046.0
9,Cambodia,359.0,553.6,748.2,942.8,1137.4,1332.0,1558.2,1784.4,2010.6,2236.8,2463.0,2588.0,2713.0,2838.0,2963.0,3088.0,3184.8,3281.6,3378.4,3475.2,3572.0,3715.4,3858.8,4002.2,4145.6,4289.0,4446.4,4603.8,4761.2,4918.6,5076.0,Australia,20179.0
10,Canada,4155.0,4402.6,4650.2,4897.8,5145.4,5393.0,5832.2,6271.4,6710.6,7149.8,7589.0,7771.4,7953.8,8136.2,8318.6,8501.0,8879.8,9258.6,9637.4,10016.2,10395.0,10927.6,11460.2,11992.8,12525.4,13058.0,13641.2,14224.4,14807.6,15390.8,15974.0,Australia,65065.0
11,Chile,3051.0,3286.2,3521.4,3756.6,3991.8,4227.0,4675.0,5123.0,5571.0,6019.0,6467.0,6634.2,6801.4,6968.6,7135.8,7303.0,7539.6,7776.2,8012.8,8249.4,8486.0,8897.0,9308.0,9719.0,10130.0,10541.0,10991.2,11441.4,11891.6,12341.8,12792.0,Australia,52867.0
12,China,6894.0,7401.6,7909.2,8416.8,8924.4,9432.0,12040.6,14649.2,17257.8,19866.4,22475.0,24468.8,26462.6,28456.4,30450.2,32444.0,34727.8,37011.6,39295.4,41579.2,43863.0,46143.4,48423.8,50704.2,52984.6,55265.0,57760.6,60256.2,62751.8,65247.4,67743.0,Australia,238116.0
13,"China, Hong Kong SAR",3299.0,3896.0,4493.0,5090.0,5687.0,6284.0,7881.8,9479.6,11077.4,12675.2,14273.0,14773.8,15274.6,15775.4,16276.2,16777.0,16757.0,16737.0,16717.0,16697.0,16677.0,17512.4,18347.8,19183.2,20018.6,20854.0,21769.0,22684.0,23599.0,24514.0,25429.0,Australia,103593.0
14,"China, Macao SAR",0.0,46.0,92.0,138.0,184.0,230.0,288.6,347.2,405.8,464.4,523.0,532.4,541.8,551.2,560.6,570.0,561.2,552.4,543.6,534.8,526.0,552.0,578.0,604.0,630.0,656.0,684.4,712.8,741.2,769.6,798.0,Australia,3303.0
15,Colombia,313.0,335.6,358.2,380.8,403.4,426.0,466.2,506.4,546.6,586.8,627.0,654.0,681.0,708.0,735.0,762.0,888.0,1014.0,1140.0,1266.0,1392.0,1463.2,1534.4,1605.6,1676.8,1748.0,1825.8,1903.6,1981.4,2059.2,2137.0,Australia,7405.0
16,Croatia,11322.0,11708.6,12095.2,12481.8,12868.4,13255.0,12988.6,12722.2,12455.8,12189.4,11923.0,13083.6,14244.2,15404.8,16565.4,17726.0,16702.2,15678.4,14654.6,13630.8,12607.0,13079.6,13552.2,14024.8,14497.4,14970.0,15488.8,16007.6,16526.4,17045.2,17564.0,Australia,99367.0
17,Cyprus,3173.0,3361.2,3549.4,3737.6,3925.8,4114.0,4161.4,4208.8,4256.2,4303.6,4351.0,4370.4,4389.8,4409.2,4428.6,4448.0,4467.6,4487.2,4506.8,4526.4,4546.0,4727.0,4908.0,5089.0,5270.0,5451.0,5649.6,5848.2,6046.8,6245.4,6444.0,Australia,32527.0
18,Czech Republic,4064.0,4146.0,4228.0,4310.0,4392.0,4474.0,4395.0,4316.0,4237.0,4158.0,4079.0,4134.2,4189.4,4244.6,4299.8,4355.0,3976.6,3598.2,3219.8,2841.4,2463.0,2580.4,2697.8,2815.2,2932.6,3050.0,3178.4,3306.8,3435.2,3563.6,3692.0,Australia,26177.0
19,Denmark,2427.0,2482.0,2537.0,2592.0,2647.0,2702.0,2793.4,2884.8,2976.2,3067.6,3159.0,3187.0,3215.0,3243.0,3271.0,3299.0,3286.6,3274.2,3261.8,3249.4,3237.0,3365.6,3494.2,3622.8,3751.4,3880.0,4021.2,4162.4,4303.6,4444.8,4586.0,Australia,23290.0
20,Ecuador,194.0,198.8,203.6,208.4,213.2,218.0,232.4,246.8,261.2,275.6,290.0,306.8,323.6,340.4,357.2,374.0,391.2,408.4,425.6,442.8,460.0,481.8,503.6,525.4,547.2,569.0,593.2,617.4,641.6,665.8,690.0,Australia,2795.0
21,Egypt,8409.0,8524.0,8639.0,8754.0,8869.0,8984.0,9271.6,9559.2,9846.8,10134.4,10422.0,10349.2,10276.4,10203.6,10130.8,10058.0,10091.4,10124.8,10158.2,10191.6,10225.0,10706.6,11188.2,11669.8,12151.4,12633.0,13160.2,13687.4,14214.6,14741.8,15269.0,Australia,76000.0
22,El Salvador,0.0,55.2,110.4,165.60000000000002,220.8,276.0,525.4,774.8,1024.2,1273.6,1523.0,1576.8,1630.6,1684.4,1738.2,1792.0,1896.4,2000.8,2105.2,2209.6,2314.0,2431.6,2549.2,2666.8,2784.4,2902.0,3030.4,3158.8,3287.2,3415.6,3544.0,Australia,12351.0
23,Estonia,2357.0,2297.6,2238.2,2178.8,2119.4,2060.0,1815.2,1570.4,1325.6,1080.8,836.0,921.0,1006.0,1091.0,1176.0,1261.0,1183.2,1105.4,1027.6,949.8,872.0,912.0,952.0,992.0,1032.0,1072.0,1115.8,1159.6,1203.4,1247.2,1291.0,Australia,9749.0
24,Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0,51.2,102.4,153.60000000000002,204.8,256.0,299.8,343.6,387.4,431.2,475.0,542.8,610.6,678.4,746.2,814.0,855.2,896.4,937.6,978.8,1020.0,1065.2,1110.4,1155.6,1200.8,1246.0,Australia,3811.0
25,Fiji,1912.0,2178.0,2444.0,2710.0,2976.0,3242.0,4060.0,4878.0,5696.0,6514.0,7332.0,7721.6,8111.2,8500.8,8890.4,9280.0,9966.2,10652.4,11338.6,12024.8,12711.0,13308.2,13905.4,14502.6,15099.8,15697.0,16351.0,17005.0,17659.0,18313.0,18967.0,Australia,69141.0
